zisf_zoom_info_industry_c,dnb_industry
Apparel & Accessories Retail,Retail Trade
"Flowers, Gifts & Specialty Stores",Retail Trade
"Energy, Utilities & Waste Treatment General",Administrative and Support and Waste Management and Remediation Services
Commercial & Residential Construction,Construction
Charitable Organizations & Foundations,"Professional, Scientific, and Technical Services"
Building Materials,Manufacturing
"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",Manufacturing
Aerospace & Defense,"Professional, Scientific, and Technical Services"
Drug Manufacturing & Research,Manufacturing
Insurance,"Professional, Scientific, and Technical Services"
Hospitals & Clinics,Manufacturing
Consumer Services General,"Professional, Scientific, and Technical Services"
Furniture,Retail Trade
K-12 Schools,Educational Services
Wire & Cable,Manufacturing
"Architecture, Engineering & Design",Construction
Search Engines & Internet Portals,"Professional, Scientific, and Technical Services"
Motor Vehicle Dealers,Retail Trade
Office Products Retail & Distribution,Wholesale Trade
Law Firms & Legal Services,"Professional, Scientific, and Technical Services"
Mining,Construction
"Trucking, Moving & Storage",Transportation and Warehousing
Healthcare,Health Care and Social Assistance
Education,Educational Services
Telecommunications General,"Professional, Scientific, and Technical Services"
Industrial Machinery & Equipment,Manufacturing
Lodging & Resorts,Accommodation and Food Services
Electronics,Manufacturing
Software,Information
Jewelry & Watch Retail,Retail Trade
Publishing,Information
"Food, Beverages & Tobacco",Accommodation and Food Services
Telecommunication Equipment,Retail Trade
Boats & Submarines,Manufacturing
Food & Beverages,Accommodation and Food Services
Manufacturing General,Manufacturing
"Department Stores, Shopping Centers & Superstores",Retail Trade
"Vitamins, Supplements & Health Stores",Retail Trade
Household Goods,Retail Trade
Commercial Printing,Manufacturing
Investment Banking,"Professional, Scientific, and Technical Services"
Photography Studio,"Arts, Entertainment, and Recreation"
Debt Collection,"Professional, Scientific, and Technical Services"
"Aggregates, Concrete & Cement",Wholesale Trade
Consumer Goods,Retail Trade
Brokerage,Wholesale Trade
Fitness & Dance Facilities,"Arts, Entertainment, and Recreation"
Plumbing & HVAC Equipment,Wholesale Trade
Tires & Rubber,Manufacturing
Construction General,Construction
Telephony & Wireless,Manufacturing
Museums & Art Galleries,"Arts, Entertainment, and Recreation"
Auctions,"Arts, Entertainment, and Recreation"
Education General,Educational Services
Automobile Parts Stores,Retail Trade
Sporting & Recreational Equipment Retail,Retail Trade
"Plastic, Packaging & Containers",Manufacturing
Textiles & Apparel,Retail Trade
Multimedia & Graphic Design,"Professional, Scientific, and Technical Services"
Food Service,Accommodation and Food Services
Travel Agencies & Services,"Professional, Scientific, and Technical Services"
"Waste Treatment, Environmental Services & Recycling",Administrative and Support and Waste Management and Remediation Services
Government,Public Administration
"Record, Video & Book Stores",Retail Trade
Marine Shipping & Transportation,Transportation and Warehousing
Retail General,Retail Trade
Computer Equipment & Peripherals,Wholesale Trade
Newspapers & News Services,Information
"Airlines, Airports & Air Services",Administrative and Support and Waste Management and Remediation Services
Colleges & Universities,Educational Services
Automotive Service & Collision Repair,Wholesale Trade
Recreation,"Arts, Entertainment, and Recreation"
Power Conversion & Protection Equipment,Manufacturing
Manufacturing,Manufacturing
Management Consulting,"Professional, Scientific, and Technical Services"
Cable & Satellite,"Professional, Scientific, and Technical Services"
Computer Networking Equipment,Manufacturing
Hospitality General,Accommodation and Food Services
Transportation General,Wholesale Trade
Test & Measurement Equipment,Manufacturing
"Cosmetics, Beauty Supply & Personal Care Products",Retail Trade
Semiconductor & Semiconductor Equipment,Manufacturing
Crops,"Agriculture, Forestry, Fishing and Hunting"
Jewelry & Watches,Retail Trade
Retail,Retail Trade
Security Products & Services,Administrative and Support and Waste Management and Remediation Services
Drug Stores & Pharmacies,Retail Trade
"Chemicals, Petrochemicals, Glass & Gases",Manufacturing
Pet Products,Retail Trade
Pharmaceuticals,Manufacturing
Biotechnology,Manufacturing
Information & Document Management,Administrative and Support and Waste Management and Remediation Services
Consumer Services,Manufacturing
Cleaning Products,Retail Trade
"Internet Service Providers, Website Hosting & Internet-related Services","Professional, Scientific, and Technical Services"
Software Development & Design,"Professional, Scientific, and Technical Services"
Accounting & Accounting Services,"Professional, Scientific, and Technical Services"
Personal Computers & Peripherals,Manufacturing
Restaurants,Accommodation and Food Services
Healthcare General,Health Care and Social Assistance
Religious Organizations,Other Services (except Public Administration)
Sporting Goods,Retail Trade
Toys & Games,Retail Trade
Software & Technical Consulting,"Professional, Scientific, and Technical Services"
Membership Organizations,Retail Trade
Motor Vehicles,Manufacturing
Tobacco,Manufacturing
"Gas Stations, Convenience & Liquor Stores",Retail Trade
Metals & Minerals,Wholesale Trade
Video & DVD Rental,Real Estate and Rental and Leasing
Cultural General,Educational Services
Medical Devices & Equipment,Manufacturing
Construction,Construction
"Hand, Power and Lawn-care Tools",Retail Trade
Chambers of Commerce,Public Administration
Venture Capital & Private Equity,"Professional, Scientific, and Technical Services"
Hair Salons,Other Services (except Public Administration)